ID,poNumber,supplier_ID,orderDate,requiredDate,status,priority,totalAmount,currency_code,notes,approvedBy,approvedAt,rejectionNote,createdAt,createdBy,modifiedAt,modifiedBy
438244ba-bf45-465d-9e4e-26a5d3f65cfc,poNumber-438244,6240324a-e51c-463a-a454-5daf21c52ec7,2017-03-30,2002-09-13,Rejected,Medium,4115396884.88,204,notes-438244,approvedBy-438244,2006-11-29T00:00:00.000Z,rejectionNote-438244,2018-01-17T00:00:00.000Z,createdBy.9e5g@example.org,2009-12-30T00:00:00.000Z,modifiedBy.9e5g@example.org
4382458a-9dd2-40ab-ba41-d1f0b24f2228,poNumber-438245,6240324a-e51c-463a-a454-5daf21c52ec7,2004-03-25,2018-11-10,Pending,Urgent,7847755816.13,204,notes-438245,approvedBy-438245,2008-07-25T00:00:00.000Z,rejectionNote-438245,2004-07-06T00:00:00.000Z,createdBy.9e5h@example.net,2009-04-24T00:00:00.000Z,modifiedBy.9e5h@example.com
438246d1-ae96-4ed3-a2c7-51cab61d0fe6,poNumber-438246,6240324a-e51c-463a-a454-5daf21c52ec7,2014-05-16,2018-11-24,Approved,High,2199423821.17,204,notes-438246,approvedBy-438246,2014-11-26T00:00:00.000Z,rejectionNote-438246,2009-01-30T00:00:00.000Z,createdBy.9e5i@example.org,2009-09-28T00:00:00.000Z,modifiedBy.9e5i@example.org
43824741-dab1-45b4-8342-001cc8c9ced5,poNumber-438247,6240324a-e51c-463a-a454-5daf21c52ec7,2021-11-14,2008-09-04,Pending,Urgent,2088868455.18,204,notes-438247,approvedBy-438247,2004-11-21T00:00:00.000Z,rejectionNote-438247,2016-07-08T00:00:00.000Z,createdBy.9e5j@example.org,2015-02-27T00:00:00.000Z,modifiedBy.9e5j@example.com
4382485e-c01b-400c-b388-4b7638fa4de4,poNumber-438248,6240324a-e51c-463a-a454-5daf21c52ec7,2002-08-02,2003-03-02,Ordered,Low,2249590660.02,204,notes-438248,approvedBy-438248,2011-06-27T00:00:00.000Z,rejectionNote-438248,2023-12-06T00:00:00.000Z,createdBy.9e5k@example.org,2017-11-14T00:00:00.000Z,modifiedBy.9e5k@example.com
4382499a-3e2f-4aa5-8ce0-475e06b89aa8,poNumber-438249,6240324a-e51c-463a-a454-5daf21c52ec7,2014-11-19,2014-11-11,Pending,Low,9915722996.91,204,notes-438249,approvedBy-438249,2018-04-09T00:00:00.000Z,rejectionNote-438249,2003-12-27T00:00:00.000Z,createdBy.9e5l@example.org,2005-03-19T00:00:00.000Z,modifiedBy.9e5l@example.org
438250c8-a3dd-4fdc-8fe8-fdce6ebfb9ee,poNumber-438250,6240324a-e51c-463a-a454-5daf21c52ec7,2010-03-06,2008-12-25,Approved,Medium,1507458622.08,204,notes-438250,approvedBy-438250,2003-08-21T00:00:00.000Z,rejectionNote-438250,2020-09-07T00:00:00.000Z,createdBy.9e5m@example.org,2014-10-05T00:00:00.000Z,modifiedBy.9e5m@example.org
438251b1-7480-4335-9f27-dc162b7f7112,poNumber-438251,6240324a-e51c-463a-a454-5daf21c52ec7,2015-07-02,2014-10-19,Ordered,Medium,7983261796.9,204,notes-438251,approvedBy-438251,2012-11-18T00:00:00.000Z,rejectionNote-438251,2015-01-06T00:00:00.000Z,createdBy.9e5n@example.org,2022-01-13T00:00:00.000Z,modifiedBy.9e5n@example.org
43825282-77c1-4a49-b986-c12bf3e51e2f,poNumber-438252,6240324a-e51c-463a-a454-5daf21c52ec7,2011-09-24,2007-09-22,Ordered,Low,1729437317.53,204,notes-438252,approvedBy-438252,2014-08-12T00:00:00.000Z,rejectionNote-438252,2008-04-07T00:00:00.000Z,createdBy.9e5o@example.com,2013-09-06T00:00:00.000Z,modifiedBy.9e5o@example.net
43825335-462e-44fe-bb0c-6e8c293ffd0d,poNumber-438253,6240324a-e51c-463a-a454-5daf21c52ec7,2001-06-16,2011-05-25,Pending,Medium,7649431771.1,204,notes-438253,approvedBy-438253,2007-12-14T00:00:00.000Z,rejectionNote-438253,2003-04-06T00:00:00.000Z,createdBy.9e5p@example.com,2023-10-12T00:00:00.000Z,modifiedBy.9e5p@example.org
